"linea","id","title","description","price","link",
2,125,Dubai Chocolate Sala Modular,"&lt;p style=&quot;text-align: justify;&quot;&gt;Dise&ntilde;a la sala tan grande como te imagines, tapizada en tela SOFT y con una fuerte estructura con madera pino americano es ideal para cualquiera que sea tu espacio. *YLM &lt;/p&gt;",27800.00 MXN,https://dico.com.mx/df/dubai-sala-modular.html
3,132,Gordon Chocolate Sala,"El &eacute;xito de esta sala &lt;b&gt;GORDON&lt;/b&gt; es por todo lo que te ofrece una fuerte estructura en madera de pino de alta calidad y tapizada en P.U. que brindan un gran confort, sus asientos reclinables y su charola abatible dejan que sea perfecta para grandes familias. *YLM",42000.00 MXN,https://dico.com.mx/df/gordon-ii-p-u-chocolate.html
4,185,Derby Marfil Sala,"La sala Derby crea un ambiente de elegancia en cualquier lugar. Sus brazos redondeados y asientos ajustados te har&aacute;n sentir en un confort como en las nubes. Tapizada en piel, disponible en piezas sueltas y colores marfil, chocolate y rojo.*",32000.00 MXN,https://dico.com.mx/df/derby.html
5,235,Tane Mocha Sala,"La sala &lt;b&gt;TANE&lt;/b&gt; es una pieza preciosa para cualquier hogar, elaborada con madera industrializada de la m&aacute;s alta calidad y tapizada en microfibra bonded con hilos que contrastan el color muestra lo sofisticado de su elaboraci&oacute;n. *YLM",40000.00 MXN,https://dico.com.mx/df/tane-sala.html
6,249,Cartagena Beige Sala,"&lt;p style=&quot;text-align: justify;&quot;&gt;Una de las mejores salas modernas de Muebles Dico. La sala &lt;strong&gt;CARTAGENA&lt;/strong&gt; en color beige est&amp;aacute; realizada con madera fina y tapizada en tela chenille. Incluye cojines decorativos. La pieza perfecta para tu espacio.&lt;/p&gt;&lt;p style=&quot;text-align: justify;&quot;&gt;JS.&lt;/p&gt;",18000.00 MXN,https://dico.com.mx/df/cartagena-sala.html
7,303,Parker Negro Comedor Triangular,"&iquest;Listo para un acercamiento? Si tienes como objetivo el imponer una moda, &iquest;por qu&eacute; no hacerlo a lo grande? Original e in&eacute;dito, el &lt;b&gt;PARKER&lt;/b&gt; te ofrece una cubierta de vidrio templado que te garantizar&aacute; muchos a&ntilde;os de reuniones familiares. Selecciona la versi&oacute;n rectangular o triangular.",18000.00 MXN,https://dico.com.mx/df/parker-ty-ds073-comedor-triangular-7-piezas.html
8,318,Portugal Comedor,"&lt;b&gt;PORTUGAL&lt;/b&gt; trae a tu casa una encantadora elegancia. Transf&oacute;rmate para una cena formal con tu familia o amigos, crea momentos memorables o simplemente disfruta de un buen crucigrama. Lujosa cubierta en m&aacute;rmol 100% natural &uacute;nico e irrepetible que lo har&aacute; durar para toda la vida.",47998.00 MXN,https://dico.com.mx/df/portugal-comedor-7-piezas.html
9,345,Hylton Comedor,"&lt;p style=&quot;text-align: justify;&quot;&gt;&amp;iquest;Una comida elegante? &amp;iquest;Una cena rom&amp;aacute;ntica?&amp;iquest;Un desayuno pentre amigos? Para esto y m&amp;aacute;s el comedor &lt;strong&gt;HYLTON&lt;/strong&gt; es perfecto, con su acabado en melanina una muy legante imitaci&amp;oacute;n del m&amp;aacute;rmol hace que cualquier hora del d&amp;iacute;a, sea ideal para pasarla en compa&amp;ntilde;ia.&lt;/p&gt;",26000.00 MXN,https://dico.com.mx/df/hylton-comedor.html
10,349,Burj Comedor,"Sea una casa en los suburbios o un departamento en la ciudad, este pedestal parece haber sido sacado de las manos del m&aacute;s experto ebansta. El &lt;b&gt;BURJ&lt;/b&gt; es una expresi&oacute;n del arte hecho comedor, disfruta de una deliciosa comida o un buen Martini con estilo. &iexcl;Haz que sea lo que t&uacute; quieras!.",35600.00 MXN,https://dico.com.mx/df/burj-comedor.html
11,354,Picasso Recámara K.S,"Un dise&ntilde;o fresco. Una cuidadosa mezcla de elementos. Y cuando se hace bien, es imposible ignorarlo. L&iacute;neas elegantes, estampados llamativos integran su cabecera y piezas que lo complementan, as&iacute; es la Colecci&oacute;n Picasso.*descylm",16000.00 MXN,https://dico.com.mx/df/picasso-recamara.html
12,375,Charlotte Gorgola Sala Modular,"Es la combinaci&oacute;n perfecta entre los tapizados floter y suede le dan una vista espectacular que todos quieren llevarla a casa en cuanto la conocen.
YL.",22000.00 MXN,https://dico.com.mx/df/charlotte-gorgola-sala-modular-501.html
13,388,Victoria Recámara K.S,"Las cosas bien hechas se notan y si no lo crees, observa esta hermosa rec&aacute;mara &lt;b&gt;VICTORIA&lt;/b&gt; elaborada con madera industrializada de la m&aacute;s alta calidad y acabados en tacto piel en la cabecera. Sus herrajes niquelados agregan el complemento perfecto para tenerla en casa. *YLM",16000.00 MXN,https://dico.com.mx/df/victoria-recamara.html
14,408,Nina Tabaco Sala,"&lt;p style=&quot;text-align: justify;&quot;&gt;La sala perfecta para cualquier tipo de hogar. &lt;b&gt;NINA&lt;/b&gt; ofrece gran resistencia por su tapiz en tactopiel que no deja que nada la ensucie, con mascotas, ni&ntilde;os o simples visitas&hellip; Esta sala siempre lucir&aacute; impecable. *YLM &lt;/p&gt;",22000.00 MXN,https://dico.com.mx/df/nina-sala-tabaco.html
15,421,Marley Topo Sala,"&lt;p style=&quot;text-align: justify;&quot;&gt;C&oacute;moda y espaciosa, la sala &lt;b&gt;MARLEY&lt;/b&gt; est&aacute; elaborada con madera de pino de la m&aacute;s alta calidad, tapizada en suede de varios colores, patas barnizadas en chocolate que resaltan cada detalle de esta hermosa sala.*YLM &lt;/p&gt;",20000.00 MXN,https://dico.com.mx/df/marley-sd-sala.html
16,452,Asturias Barra y Contrabarra,"&lt;p&gt;Haz resaltar cualquier espacio de tu casa con elegancia y distinci&oacute;n. Delicados y sofisticados tintes cherry oscuro, en acabado poli&eacute;ster al alto brillo, crean un fondo perfecto para resaltar la belleza de la cantina Asturias. L&iacute;neas elegantes en contraste con tintes vivos, es lo que caracteriza a esta amplia colecci&oacute;n que incluye rec&aacute;mara, comedor y ocasionales.&lt;/p&gt;&lt;p&gt;*YLM &lt;/p&gt;",18000.00 MXN,https://dico.com.mx/df/asturias-barra-y-contrabarra.html
17,458,Royale Sala con Reclinables,"Reg&aacute;late las enormes almohadas de este gran sof&aacute; con DOS reclinables. Con el precio correcto, jam&aacute;s ha habido una mejor manera de mejorar tu hogar. Rel&aacute;jate con tus amigos viendo deportes en la televisi&oacute;n o una pel&iacute;cula. Recu&eacute;state para un siesta y desear&aacute;s que tu cama fuera igual de c&oacute;moda.*",66000.00 MXN,https://dico.com.mx/df/royale-sala-con-2-reclinables.html
18,471,Topacio Moka Sala,"Cuenta con l&iacute;neas limpias e impecable sofisticaci&oacute;n que simula tela tipo cuero; la sala &lt;b&gt;TOPACIO&lt;/b&gt; esta tapizada en flother de alta duraci&oacute;n y calidad que engalana tu sala principal. *YLM",18000.00 MXN,https://dico.com.mx/df/topacio-flother-sala.html
19,483,Gordon Plush Chocolate Sala,"Lo &ldquo;Cool&rdquo; es atemporal y vive para siempre. Este sof&aacute; es la brillante y suave pieza central tapizada en fino tacto piel de la m&aacute;s alta calidad, que se complementa con sus dos reclinables y dos m&aacute;s en su love seat. Actitud innegable que alargar&aacute; cualquier espacio desde el recibidor hasta el entorno familiar.",42000.00 MXN,https://dico.com.mx/df/gordon-ii-plush-chocolate-sala.html
